tradingsymbol,instrument_token,avg_volume
MARUTI,2815745,359244
LIQUIDBEES,2817537,2878131
INFOBEAN,2822913,60567
SANGINITA,2824193,73300
BANKIETF,2825473,362671
DCMNVL,2825985,21488
SATIA,2827521,65936
SIRCA,2828801,406169
SECURKLOUD,2830849,33294
KSOLVES,2831361,39784
AGRITECH,2834433,3764
LIBAS,2836993,33170
SUMIT,2851841,45342
SHRENIK,2854145,767229
CREATIVE,2855681,14702
HARSHA,2857473,35268
IDFCFIRSTB,2863105,16611472
INDIGO,2865921,1142358
SHK,2870273,365087
VARDHACRLC,2872321,45557
UCOBANK,2873089,6614104
BAGFILMS,2873857,130090
SUVEN,2875649,138045
JSL,2876417,637628
NSIL,2877185,6456
HDFCGROWTH,2877697,17130
WELSPUNLIV,2880769,3029819
HDFCQUAL,2881281,24494
JAIBALAJI,2881537,669934
HDFCVALUE,2882561,5801
IGL,2883073,2422272
TVSELECT,2883841,39170
DREDGECORP,2885377,30442
TVTODAY,2886401,33892
UPL,2889473,2335744
UNIENTER,2891009,6066
SIL,2892033,22247
LUXIND,2893057,21471
BALAXI,2895105,54864
LICNETFN50,2897665,1334
MUKANDLTD,2899201,202518
AFFLE,2903809,188386
PETRONET,2905857,1658613
PTC,2906881,1114857
DHANBANK,2907905,607441
VAIBHAVGBL,2909185,369287
TTKHLTCARE,2910465,2778
BIOCON,2911489,3007561
TIPSFILMS,2911745,3069
MAHABANK,2912513,6507294
PVTBANIETF,2914817,950973
ZOTA,2916865,73469
SALZERELEC,2918145,88597
POONAWALLA,2919169,2405464
XPROINDIA,2920193,19431
RKFORGE,2921217,471273
DATAMATICS,2924289,217959
NDTV,2925313,78365
KRITINUT,2926593,17947
SPANDANA,2927361,235715
BANKBEES,2928385,418669
LICNETFSEN,2928897,121
PILANIINVS,2929921,3111
CCL,2931713,240117
NV20,2932993,14007
EXCELINDUS,2936577,6784
LT,2939649,1625095
APARINDS,2941697,108731
AMBICAAGAR,2942977,11411
CENTEXT,2946817,0
NIITLTD,2949633,296219
EMIL,2951681,962741
ULTRACEMCO,2952193,207575
TCS,2953217,2666980
HDFCMOMENT,2953729,205027
COFORGE,2955009,1728831
HDFCLOWVOL,2956033,52223
TEXINFRA,2956545,107491
DCI,2960897,25197
PPLPHARMA,2962177,3323996
FORCEMOT,2962689,88230
WESTLIFE,2964481,132996
GULFPETRO,2964737,40096
TRACXN,2964993,243640
HDFCNIFTY,2967297,54314
HDFCSENSEX,2967809,25221
LINCOLN,2968577,22738
GUFICBIO,2971137,39333
ASTRAMICRO,2974209,397049
WELENT,2976257,213087
NARMADA,2976513,0
NTPC,2977281,8364904
BOHRAIND,2979841,22199
KOTARISUG,2981633,47784
LALPATHLAB,2983425,125727
JBMA,2983681,322086
DWARKESH,2986753,474909
